fdcId,portion,g_weight
173087,3 oz,85.05
173088,3 oz,85.05
173089,3 oz,85.05
173090,1 tbsp,12.8
173091,1 tbsp,12.8
173092,3 oz,85.05
173093,3 oz,85.05
173094,3 oz,85.05
173095,3 oz,85.05
173096,3 oz,85.05
173097,3 oz,85.05
173098,3 oz,85.05
173099,3 oz,85.05
173100,3 oz,85.05
173101,3 oz,85.05
173102,3 oz,85.05
173103,3 oz,85.05
173104,3 oz,85.05
173105,3 oz,85.05
173106,3 oz,85.05
173107,3 oz,85.05
173108,3 oz,85.05
173109,3 oz,85.05
173110,3 oz,85.05
173111,3 oz,85.05
173112,3 oz,85.05
173113,3 oz,85.05
173114,3 oz,85.05
173115,3 oz,85.05
173116,3 oz,85.05
173117,3 oz,85.05
173118,3 oz,85.05
173119,3 oz,85.05
173120,3 oz,85.05
173121,3 oz,85.05
173122,3 oz,85.05
173123,3 oz,85.05
173124,3 oz,85.05
173125,3 oz,85.05
173126,3 oz,85.05
173127,3 oz,85.05
173128,3 oz,85.05
173129,3 oz,85.05
173130,3 oz,85.05
173349,3 oz,85.05
173350,3 oz,85.05
173351,3 oz,85.05
173352,3 oz,85.05
173353,3 oz,85.05
173354,3 oz,85.05
173355,3 oz,85.05
173356,3 oz,85.05
173357,3 oz,85.05
173358,3 oz,85.05
173359,3 oz,85.05
173360,3 oz,85.05
173361,3 oz,85.05
173362,3 oz,85.05
173363,3 oz,85.05
173364,3 oz,85.05
173365,3 oz,85.05
173366,3 oz,85.05
173367,3 oz,85.05
173368,3 oz,85.05
173369,3 oz,85.05
173370,3 oz,85.05
173371,3 oz,85.05
173372,3 oz,85.05
173373,3 oz,85.05
173374,3 oz,85.05
173375,3 oz,85.05
173376,3 oz,85.05
173377,3 oz,85.05
173378,3 oz,85.05
173379,3 oz,85.05
173380,3 oz,85.05
173381,3 oz,85.05
173382,3 oz,85.05
173383,3 oz,85.05
173384,3 oz,85.05
173385,3 oz,85.05
173386,3 oz,85.05
173387,3 oz,85.05
173388,3 oz,85.05
173389,3 oz,85.05
173390,3 oz,85.05
173391,3 oz,85.05
173392,3 oz,85.05
173393,3 oz,85.05
173394,3 oz,85.05
173395,3 oz,85.05
